id,name,album,album_id,artists,artist_ids,track_number,disc_number,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,year,release_date
3HbdHDF1qUthnU7kWpyCuB,Die blaue Mazur: Act III: Waltz Scene,"Lehar, F.: Blaue Mazur (Die) [Operetta] (Beerman)",0HXeKNZL3VNku4YO87kuok,"['Franz Lehár', 'Johanna Stojkovic', 'Julia Bauer', 'Johann Weigel', 'Jan Kobow', 'Hans Christoph Begemann', 'Michael Hoffmann', 'Andreas David', 'Rudolf Tiersch', 'Frankfurt Singakademie', 'Frankfurt Brandenburg State Orchestra', 'Frank Beermann']","['3O3SOoPYtUSjajTdIag0nT', '2W1yXTHrh5JvWfnq9OsBQG', '6x9IPqXM9mUFNEumitYeUV', '6BhlW54D28dDiUd5B2bGU5', '0Yn468tSIsDATfHXkFmUoC', '6wsXsZfBvaIBCELLb2mmi4', '7mA8pwVp449E9LxprPBmD4', '0K9erGQWUk8zG7wKf83dNn', '6Hunbtx6eE5wgu6lIHnna9', '2NCvmZ9utNLROttuh9ytiT', '3fFgE3hES4qwH5qMoQM3ge', '5HBd5KMnAyxKrL3yUB5z9J']",8,2,False,0.28800000000000003,0.45299999999999996,4,-12.344000000000001,0,0.0324,0.8640000000000001,0.917,0.9259999999999999,0.315,101.57600000000001,117173,1.0,2008,2008-01-01
76osNw0QwjnmNytVbTBH9B,Save Our Souls,Save Our Souls,3nuPE5zmxMwr6bnASW7ot1,['Sulu Babylon'],['0XvnmEJLOvBHhUvbETV2gj'],1,1,False,0.475,0.9309999999999999,1,-4.574,0,0.0719,0.000811,5.2300000000000004e-05,0.135,0.466,144.961,242948,4.0,2012,2012-12-12
0PyAHzcO4k8vIye7yMJAeh,"Symphonic Dances from West Side Story: No. 4, Mambo (Meno presto) -",Leonard Bernstein: A Tribute,1eJRtW0lV5LPqT3mZVRilJ,"['Leonard Bernstein', 'New York Philharmonic']","['2LmyJyCF5V1eQyvHgJNbTn', '3gacryguGmpmCvgPGt2CBI']",7,1,False,0.35100000000000003,0.85,4,-10.769,0,0.0531,0.7040000000000001,0.9009999999999999,0.836,0.085,136.477,131827,4.0,1990,1990-12-14
0vim3rNIADtAROiZW7C72k,Follia Nelia Strada,"Gothic Dramas: Original Ennio Morricone Scores For The Italian Tv Series ""Drammi Gotici""",3JFTUzonM2tLEFDL64o2iI,['Ennio Morricone'],['1nIUhcKHnK6iyumRyoV68C'],3,1,False,0.107,0.263,5,-19.293,0,0.0375,0.0996,0.6779999999999999,0.29100000000000004,0.0357,90.52600000000001,478400,4.0,1996,1996-04-23
0yrDRUXQthsEJ00sbzAVVv,"That Ain't Love - Live at Kiel Auditorium, St. Louis, MO - January 1987",The Second Decade Of Rock And Roll 1981 To 1991,6ODlXP8EhZVo0JfAb5K9bW,['REO Speedwagon'],['55vs7NT1KxcFjbMC4y202E'],9,1,False,0.34700000000000003,0.965,11,-7.8420000000000005,0,0.179,0.0104,0.0,0.981,0.366,134.58,258560,4.0,1991,1991
0xanU3hJ29JpHew5hrlkEn,Games People Play,I'm One Of You,2Urkehp43dT5oSuea5yBrb,"['Hank Williams, Jr.']",['2dyeCWctcFRt3Pha76ONgb'],6,1,False,0.39799999999999996,0.833,7,-5.545,1,0.10099999999999999,0.0653,3.5799999999999996e-05,0.126,0.631,175.766,236173,4.0,2003,2003-11-18
1ijncFLdL6h2DixERmTx1x,Swallow Song,Just Another Diamond Day,6BjFznpsyrxCFMpp3hzlD2,['Vashti Bunyan'],['4chuPfKtATDZvbRLExsTp2'],6,1,False,0.166,0.107,0,-18.609,1,0.0396,0.976,0.0241,0.18100000000000002,0.49,179.743,136453,3.0,1970,1970
6ebuq0jAlq6h1FQ2rPAacD,Loud Neighbor,Volumizer,4HoYWLCt6ZqEPegquAd58b,"[""2 Skinnee J's""]",['7oJJKtFQ0YX7nWHF8EnhDi'],11,1,False,0.6609999999999999,0.782,10,-4.939,0,0.128,0.0457,0.0,0.0836,0.746,91.992,234373,4.0,2000,2000
5gEhete3dUFPQCMuSR8Jtq,Innocence Sleeping,A Distant Bell,4Dij4LURCfYAw9Wdj220f9,['Caroline Lavelle'],['4tmvH1mdQEmU8RbbVAXcGL'],3,1,False,0.191,0.08199999999999999,6,-18.736,0,0.0388,0.8590000000000001,0.0724,0.1,0.152,148.711,193000,3.0,2004,2004-01-01
76l4dCzaWVWNjh59B8WWox,Icosikaipent,Winter in the Belly of a Snake,4YWe6dwRHA5yBnFkI3fRJk,['Venetian Snares'],['7eKIP3IoPoUAZgZuvMM6hf'],15,1,False,0.41,0.473,3,-16.73,1,0.363,0.569,0.0354,0.32,0.0353,110.061,521573,4.0,2003,2003-01-27
28b5JzeUM5TL0pmfClib94,hospital no. 32,Easy Pieces,4fHpthFHzrX3Mq4DQFTtGa,['Lateduster'],['2LlR7GoseYbrwpkAiML6d7'],7,1,False,0.257,0.67,0,-8.6,1,0.0315,0.319,0.838,0.0959,0.31,79.91199999999998,302253,3.0,2004,2004-01-01
4xivgwXVl3qCCWaKs6rGgR,Colnkft,Salmataxia,2lbcn9z3a2SlLBi98QuSTj,['Syndrone'],['4mXZj2vzDAEWLMYsdaFNxH'],10,1,False,0.428,0.9229999999999999,1,-8.046,1,0.34700000000000003,0.0323,0.8959999999999999,0.11,0.0376,78.119,440027,4.0,2004,2004-04-10
0EPVdtuad5NLRqUCD9fCOU,She Never Lets It Go To Her Heart,Greatest Hits,6JqV9up4l7XJa766XQbpXz,['Tim McGraw'],['6roFdX1y5BYSbp60OTJWMd'],3,1,False,0.67,0.7659999999999999,9,-6.755,1,0.0252,0.0586,0.0,0.0914,0.804,111.02799999999999,186267,4.0,2000,2000-11-21
103NIOjApz302KrrITpFiL,Winter Wonderland,Forever on Christmas Eve,2KrOaa7nRR3kl6cpFszs51,['Jenn Grant'],['4ll7UpFe9fDtA0g16Vgf5L'],8,1,False,0.611,0.23600000000000002,2,-9.664,1,0.0311,0.775,1.25e-05,0.12,0.19699999999999998,98.27799999999999,196875,4.0,2020,2020-11-27
2wadG1GVrUkP7CMd3IqANT,Dog,Fat,112GHzuzVrSIpoI1xy7kjt,['Fat'],['1ohGYZzONxBwgDL1jcQv5J'],1,1,False,0.604,0.94,11,-4.4319999999999995,1,0.0728,0.0028,0.0823,0.111,0.774,105.044,188133,4.0,1997,1997-07-15
3RsyOtUwQiX5s3KLGbTKT1,So Fresh (feat. Biz Markie & Slick Rick),Willennium,38ZO2nTo4L4PNtubKwtiAk,"['Will Smith', 'Biz Markie', 'Slick Rick']","['41qil2VaGbD194gaEcmmyx', '22282KfMxDo2PMjnBc82I4', '1W9qOBYRTfP7HcizWN43G1']",8,1,False,0.78,0.865,6,-4.811,1,0.28,0.267,0.0,0.348,0.84,93.99700000000001,255880,4.0,1999,1999-11-16
